datetime,1. open,2. high,3. low,4. close,5. volume
2020-09-17 13:30:00+00:00,49.37,49.67,49.3,49.42,1325944.0
2020-09-17 13:31:00+00:00,49.42,49.49,49.33,49.45,141838.0
2020-09-17 13:32:00+00:00,49.45,49.48,49.35,49.38,157045.0
2020-09-17 13:33:00+00:00,49.39,49.56,49.34,49.54,106665.0
2020-09-17 13:34:00+00:00,49.5,49.58,49.47,49.49,97130.0
2020-09-17 13:35:00+00:00,49.5,49.54,49.47,49.51,135972.0
2020-09-17 13:36:00+00:00,49.52,49.61,49.48,49.58,104715.0
2020-09-17 13:37:00+00:00,49.65,49.68,49.53,49.68,140392.0
2020-09-17 13:38:00+00:00,49.68,49.73,49.65,49.68,137946.0
2020-09-17 13:39:00+00:00,49.66,49.72,49.59,49.63,174368.0
2020-09-17 13:40:00+00:00,49.63,49.64,49.56,49.57,93563.0
2020-09-17 13:41:00+00:00,49.52,49.6,49.51,49.59,106146.0
2020-09-17 13:42:00+00:00,49.6,49.64,49.58,49.62,73379.0
2020-09-17 13:43:00+00:00,49.62,49.65,49.6,49.6,67478.0
2020-09-17 13:44:00+00:00,49.6,49.63,49.56,49.62,70565.0
2020-09-17 13:45:00+00:00,49.62,49.64,49.61,49.62,76297.0
2020-09-17 13:46:00+00:00,49.57,49.6,49.57,49.6,95738.0
2020-09-17 13:47:00+00:00,49.6,49.63,49.56,49.62,84494.0
2020-09-17 13:48:00+00:00,49.62,49.7,49.62,49.65,145928.0
2020-09-17 13:49:00+00:00,49.67,49.69,49.62,49.66,98581.0
2020-09-17 13:50:00+00:00,49.65,49.74,49.65,49.74,69652.0
2020-09-17 13:51:00+00:00,49.74,49.91,49.73,49.88,147970.0
2020-09-17 13:52:00+00:00,49.88,49.94,49.86,49.88,110125.0
2020-09-17 13:53:00+00:00,49.87,49.88,49.79,49.79,50189.0
2020-09-17 13:54:00+00:00,49.81,49.88,49.81,49.85,52537.0
2020-09-17 13:55:00+00:00,49.85,49.91,49.82,49.88,63040.0
2020-09-17 13:56:00+00:00,49.84,49.9,49.83,49.89,61066.0
2020-09-17 13:57:00+00:00,49.89,49.91,49.84,49.87,50029.0
2020-09-17 13:58:00+00:00,49.88,49.9,49.84,49.84,92961.0
2020-09-17 13:59:00+00:00,49.83,49.85,49.81,49.83,96771.0
2020-09-17 14:00:00+00:00,49.83,49.85,49.82,49.84,118031.0
2020-09-17 14:01:00+00:00,49.84,49.85,49.81,49.81,187146.0
2020-09-17 14:02:00+00:00,49.82,49.83,49.76,49.83,88174.0
2020-09-17 14:03:00+00:00,49.84,49.87,49.81,49.87,47315.0
2020-09-17 14:04:00+00:00,49.87,49.99,49.87,49.99,63727.0
2020-09-17 14:05:00+00:00,49.98,50.1,49.97,50.08,91036.0
2020-09-17 14:06:00+00:00,50.07,50.08,50.0,50.03,48818.0
2020-09-17 14:07:00+00:00,50.03,50.07,50.01,50.03,68194.0
2020-09-17 14:08:00+00:00,50.03,50.13,50.02,50.13,51507.0
2020-09-17 14:09:00+00:00,50.12,50.14,50.1,50.1,39008.0
2020-09-17 14:10:00+00:00,50.1,50.18,50.06,50.17,79662.0
2020-09-17 14:11:00+00:00,50.18,50.2,50.12,50.12,60589.0
2020-09-17 14:12:00+00:00,50.12,50.16,50.12,50.16,32540.0
2020-09-17 14:13:00+00:00,50.15,50.17,50.12,50.16,51155.0
2020-09-17 14:14:00+00:00,50.16,50.16,50.08,50.1,71667.0
2020-09-17 14:15:00+00:00,50.1,50.11,50.06,50.1,34367.0
2020-09-17 14:16:00+00:00,50.11,50.14,50.03,50.03,58629.0
2020-09-17 14:17:00+00:00,50.04,50.05,50.02,50.03,40808.0
2020-09-17 14:18:00+00:00,50.03,50.06,49.99,50.01,40609.0
2020-09-17 14:19:00+00:00,50.02,50.07,50.01,50.07,40232.0
2020-09-17 14:20:00+00:00,50.07,50.21,50.06,50.2,61742.0
2020-09-17 14:21:00+00:00,50.2,50.23,50.17,50.22,35363.0
2020-09-17 14:22:00+00:00,50.22,50.23,50.09,50.09,49836.0
2020-09-17 14:23:00+00:00,50.08,50.08,49.98,50.0,96041.0
2020-09-17 14:24:00+00:00,50.0,50.04,49.98,50.01,54243.0
2020-09-17 14:25:00+00:00,50.01,50.02,49.89,49.9,77141.0
2020-09-17 14:26:00+00:00,49.91,49.95,49.88,49.94,70400.0
2020-09-17 14:27:00+00:00,49.94,49.99,49.93,49.98,40384.0
2020-09-17 14:28:00+00:00,49.98,50.01,49.96,49.99,28898.0
2020-09-17 14:29:00+00:00,49.99,50.01,49.95,50.01,32851.0
2020-09-17 14:30:00+00:00,50.01,50.11,49.99,50.11,62269.0
2020-09-17 14:31:00+00:00,50.1,50.12,50.08,50.1,31701.0
2020-09-17 14:32:00+00:00,50.1,50.17,50.1,50.14,32407.0
2020-09-17 14:33:00+00:00,50.14,50.14,50.08,50.14,78064.0
2020-09-17 14:34:00+00:00,50.15,50.25,50.15,50.25,36536.0
2020-09-17 14:35:00+00:00,50.25,50.28,50.19,50.19,59726.0
2020-09-17 14:36:00+00:00,50.2,50.22,50.15,50.2,44754.0
2020-09-17 14:37:00+00:00,50.19,50.22,50.14,50.21,38935.0
2020-09-17 14:38:00+00:00,50.22,50.29,50.19,50.28,34245.0
2020-09-17 14:39:00+00:00,50.28,50.31,50.27,50.29,37935.0
2020-09-17 14:40:00+00:00,50.29,50.29,50.24,50.28,75940.0
2020-09-17 14:41:00+00:00,50.28,50.29,50.24,50.27,139270.0
2020-09-17 14:42:00+00:00,50.28,50.33,50.25,50.32,49606.0
2020-09-17 14:43:00+00:00,50.31,50.32,50.24,50.26,84849.0
2020-09-17 14:44:00+00:00,50.24,50.25,50.22,50.25,23630.0
2020-09-17 14:45:00+00:00,50.31,50.38,50.28,50.36,115483.0
2020-09-17 14:46:00+00:00,50.35,50.38,50.35,50.37,33259.0
2020-09-17 14:47:00+00:00,50.36,50.41,50.34,50.4,39723.0
2020-09-17 14:48:00+00:00,50.4,50.41,50.35,50.35,32841.0
2020-09-17 14:49:00+00:00,50.35,50.39,50.35,50.36,31202.0
2020-09-17 14:50:00+00:00,50.37,50.41,50.36,50.38,50806.0
2020-09-17 14:51:00+00:00,50.38,50.4,50.3,50.34,38195.0
2020-09-17 14:52:00+00:00,50.34,50.35,50.3,50.35,31731.0
2020-09-17 14:53:00+00:00,50.34,50.36,50.31,50.32,48188.0
2020-09-17 14:54:00+00:00,50.33,50.34,50.29,50.33,72285.0
2020-09-17 14:55:00+00:00,50.32,50.32,50.27,50.29,31478.0
2020-09-17 14:56:00+00:00,50.3,50.35,50.3,50.31,47548.0
2020-09-17 14:57:00+00:00,50.32,50.36,50.31,50.32,33178.0
2020-09-17 14:58:00+00:00,50.32,50.33,50.3,50.31,31989.0
2020-09-17 14:59:00+00:00,50.32,50.33,50.28,50.31,52956.0
2020-09-17 15:00:00+00:00,50.32,50.4,50.31,50.37,45287.0
2020-09-17 15:01:00+00:00,50.38,50.43,50.38,50.41,36372.0
2020-09-17 15:02:00+00:00,50.41,50.45,50.41,50.43,39196.0
2020-09-17 15:03:00+00:00,50.43,50.43,50.39,50.42,31097.0
2020-09-17 15:04:00+00:00,50.42,50.43,50.38,50.42,32736.0
2020-09-17 15:05:00+00:00,50.42,50.44,50.4,50.42,34615.0
2020-09-17 15:06:00+00:00,50.43,50.44,50.39,50.42,33170.0
2020-09-17 15:07:00+00:00,50.42,50.46,50.41,50.44,96740.0
2020-09-17 15:08:00+00:00,50.44,50.44,50.38,50.43,64049.0
2020-09-17 15:09:00+00:00,50.43,50.44,50.38,50.4,57137.0
2020-09-17 15:10:00+00:00,50.4,50.44,50.38,50.44,31794.0
2020-09-17 15:11:00+00:00,50.45,50.46,50.38,50.38,40626.0
2020-09-17 15:12:00+00:00,50.38,50.39,50.36,50.36,8828.0
