,Open,High,Low,Close,Volume
2020-11-20 00:00:00-05:00,118.04234,118.1088,118.01795,118.01259,1528148.6
2020-11-20 00:01:00-05:00,118.03131,118.101654,118.03625,117.97363,1159441.5
2020-11-20 00:02:00-05:00,118.02413,118.0902,118.04663,117.94698,879259.2
2020-11-20 00:03:00-05:00,118.0202,118.077675,118.050575,117.93288,701577.9
2020-11-20 00:04:00-05:00,118.01804,118.066444,118.05045,117.92653,595226.0
2020-11-20 00:05:00-05:00,118.01661,118.057434,118.048386,117.92415,531680.94
2020-11-20 00:06:00-05:00,118.0154,118.05064,118.04574,117.923645,493097.53
2020-11-20 00:07:00-05:00,118.014275,118.04573,118.04324,117.92398,469217.88
2020-11-20 00:08:00-05:00,118.01322,118.042274,118.041214,117.924644,454166.9
2020-11-20 00:09:00-05:00,118.012245,118.03989,118.0397,117.92541,444519.62
